,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
321,Nikhil Gangta,India,Unsold,Batsman,2000000,19944.0
322,Rohan Kadam,India,Unsold,Batsman,2000000,19944.0
323,Priyank Panchal,India,Unsold,Batsman,2000000,19944.0
324,Sameer Rizvi,India,Unsold,Batsman,2000000,19944.0
325,Ritwik Roy Chowdhury,India,Unsold,Batsman,2000000,19944.0
326,Apoorv Wankhade,India,Unsold,Batsman,2000000,19944.0
327,Atharva Ankolekar,India,Unsold,All-Rounder,2000000,19944.0
328,Tanay Thyagarajan,India,Unsold,All-Rounder,2000000,19944.0
329,Ankush Bains,India,Unsold,Wicket-Keeper,2000000,19944.0
330,Prashant Chopra,India,Unsold,Wicket-Keeper,2000000,19944.0
331,Kedar Devdhar,India,Unsold,Wicket-Keeper,2000000,19944.0
332,Shreevats Goswami,India,Unsold,Wicket-Keeper,2000000,19944.0
333,Akshdeep Nath,India,Unsold,Wicket-Keeper,2000000,19944.0
334,Aditya Tare,India,Unsold,Wicket-Keeper,2000000,19944.0
335,Pankaj Jaswal,India,Unsold,Bowler,2000000,19944.0
336,Lukman Hussain Meriwala,India,Unsold,Bowler,2000000,19944.0
337,Vyshak Vijay Kumar,India,Unsold,Bowler,2000000,19944.0
338,Zeeshan Ansari,India,Unsold,Bowler,2000000,19944.0
339,Yuvraj Chudasama,India,Unsold,Bowler,2000000,19944.0
340,Dharmendrasinh Jadeja,India,Unsold,Bowler,2000000,19944.0
341,Khrievitso Kense,India,Unsold,Bowler,2000000,19944.0
342,Prince Balwant Rai,India,Unsold,Bowler,2000000,19944.0
343,Pardeep Sahu,India,Unsold,Bowler,2000000,19944.0
344,Midhun Sudhesan,India,Unsold,Bowler,2000000,19944.0
345,Sudip Chatterjee,India,Unsold,Batsman,2000000,19944.0
346,Hiten Dalal,India,Unsold,Batsman,2000000,19944.0
347,Abhimanyu Easwaran,India,Unsold,Batsman,2000000,19944.0
348,Rahul Gahlaut,India,Unsold,Batsman,2000000,19944.0
349,Amandeep Khare,India,Unsold,Batsman,2000000,19944.0
350,Mayank Rawat,India,Unsold,Batsman,2000000,19944.0
351,Dhruv Shorey,India,Unsold,Batsman,2000000,19944.0
352,Hayden Kerr,Australia,Unsold,All-Rounder,2000000,19944.0
353,Saurabh Kumar,India,Unsold,All-Rounder,2000000,19944.0
354,Dhruv Patel,India,Unsold,All-Rounder,2000000,19944.0
355,Atit Sheth,India,Unsold,All-Rounder,2000000,19944.0
356,Utkarsh Singh,India,Unsold,All-Rounder,2000000,19944.0
357,Kaif Ahmad,India,Unsold,Wicket-Keeper,2000000,19944.0
358,Shubhum Arora,India,Unsold,Wicket-Keeper,2000000,19944.0
359,Eknath Kerkar,India,Unsold,Wicket-Keeper,2000000,19944.0
360,Nikhil Naik,India,Unsold,Wicket-Keeper,2000000,19944.0
361,B.R. Sharath,India,Unsold,Wicket-Keeper,2000000,19944.0
362,K.L. Shrijith,India,Unsold,Wicket-Keeper,2000000,19944.0
363,Mohit Avasthi,India,Unsold,Bowler,2000000,19944.0
364,Sushant Mishra,India,Unsold,Bowler,2000000,19944.0
365,Matheesha Pathirana,Sri Lanka,Unsold,Bowler,2000000,19944.0
366,G Periyasamy,India,Unsold,Bowler,2000000,19944.0
367,M.Harishankar Reddy,India,Unsold,Bowler,2000000,19944.0
368,R. Silambarasan,India,Unsold,Bowler,2000000,19944.0
369,Aditya Thakare,India,Unsold,Bowler,2000000,19944.0
370,Tanveer Ul Haq,India,Unsold,Bowler,2000000,19944.0
371,Prithviraj Yarra,India,Unsold,Bowler,2000000,19944.0
372,Satyajeet Bachhav,India,Unsold,Bowler,2000000,19944.0
373,Chintal Gandhi,India,Unsold,Bowler,2000000,19944.0
374,Jacob Lintott,England,Unsold,Bowler,2000000,19944.0
375,Izharulhuq Naveed,Afghanistan,Unsold,Bowler,2000000,19944.0
376,Tanveer Sangha,Australia,Unsold,Bowler,2000000,19944.0
377,Manav Suthar,India,Unsold,Bowler,2000000,19944.0
378,Milind Tandon,India,Unsold,Bowler,2000000,19944.0
379,Sagar Udeshi,India,Unsold,Bowler,2000000,19944.0
380,Kushaal Wadhwani,India,Unsold,Bowler,2000000,19944.0
381,Akshay Wakhare,India,Unsold,Bowler,2000000,19944.0
382,Qamran Iqbal,India,Unsold,Batsman,2000000,19944.0
383,Ishank Jaggi,India,Unsold,Batsman,2000000,19944.0
384,Rohan Kunnummal,India,Unsold,Batsman,2000000,19944.0
385,Tanmay Mishra,India,Unsold,Batsman,2000000,19944.0
386,Yash Nahar,India,Unsold,Batsman,2000000,19944.0
387,Shubham Singh Rohilla,India,Unsold,Batsman,2000000,19944.0
388,Alex Ross,Australia,Unsold,Batsman,2000000,19944.0
389,Naushad Shaikh,India,Unsold,Batsman,2000000,19944.0
390,Baba Aparajith,India,Unsold,All-Rounder,2000000,19944.0
391,Prayas Barman,India,Unsold,All-Rounder,2000000,19944.0
392,Shubhang Hegde,India,Unsold,All-Rounder,2000000,19944.0
393,Roosh Kalaria,India,Unsold,All-Rounder,2000000,19944.0
394,Tanush Kotian,India,Unsold,All-Rounder,2000000,19944.0
395,Kaushal Tambe,India,Unsold,All-Rounder,2000000,19944.0
396,Shivank Vashisth,India,Unsold,All-Rounder,2000000,19944.0
397,Rahul Chandrol,India,Unsold,Wicket-Keeper,2000000,19944.0
398,Harvik Desai,India,Unsold,Wicket-Keeper,2000000,19944.0
399,Cam Fletcher,New Zealand,Unsold,Wicket-Keeper,2000000,19944.0
400,Tarang Gohel,India,Unsold,Wicket-Keeper,2000000,19944.0
401,Fazil Makaya,India,Unsold,Wicket-Keeper,2000000,19944.0
402,Ryan Rickelton,South Africa,Unsold,Wicket-Keeper,2000000,19944.0
403,Sandeep Kumar Tomar,India,Unsold,Wicket-Keeper,2000000,19944.0
404,Siddhesh Wath,India,Unsold,Wicket-Keeper,2000000,19944.0
405,Stephen Cheepurupalli,India,Unsold,Bowler,2000000,19944.0
406,Aniket Choudhary,India,Unsold,Bowler,2000000,19944.0
407,Kartikeya Kak,India,Unsold,Bowler,2000000,19944.0
408,Ronit More,India,Unsold,Bowler,2000000,19944.0
409,M Nidheesh,India,Unsold,Bowler,2000000,19944.0
410,Babasafi Pathan,India,Unsold,Bowler,2000000,19944.0
411,Vidyadhar Patil,India,Unsold,Bowler,2000000,19944.0
412,Mukesh Kumar Singh,India,Unsold,Bowler,2000000,19944.0
413,R. Alexandar,India,Unsold,Bowler,2000000,19944.0
414,Adithya Ashok,New Zealand,Unsold,Bowler,2000000,19944.0
415,Jasmer Dhankhar,India,Unsold,Bowler,2000000,19944.0
416,Prerit Dutta,India,Unsold,Bowler,2000000,19944.0
417,Jon Russ Jaggesar,West Indies,Unsold,Bowler,2000000,19944.0
418,S. Kishan Kumar,India,Unsold,Bowler,2000000,19944.0
419,Kevin Koththigoda,Sri Lanka,Unsold,Bowler,2000000,19944.0
420,Swaraj Wabale,India,Unsold,Bowler,2000000,19944.0
421,Donavon Ferreira,South Africa,Unsold,Batsman,2000000,19944.0
422,Bhupen Lalwani,India,Unsold,Batsman,2000000,19944.0
423,Henan Malik,India,Unsold,Batsman,2000000,19944.0
424,Pukhraj Mann,India,Unsold,Batsman,2000000,19944.0
425,Shashwat Rawat,India,Unsold,Batsman,2000000,19944.0
426,Jake Weatherald,Australia,Unsold,Batsman,2000000,19944.0
427,Gerald Coetzee,South Africa,Unsold,All-Rounder,2000000,19944.0
428,Akshay Karnewar,India,Unsold,All-Rounder,2000000,19944.0
429,Sumit Kumar,India,Unsold,All-Rounder,2000000,19944.0
430,Abid Mushtaq,India,Unsold,All-Rounder,2000000,19944.0
431,Lone Muzaffar,India,Unsold,All-Rounder,2000000,19944.0
432,Ninad Rathva,India,Unsold,All-Rounder,2000000,19944.0
433,Shoun Roger,India,Unsold,All-Rounder,2000000,19944.0
434,Jaideep Bhambhu,India,Unsold,Bowler,2000000,19944.0
435,Nandre Burger,South Africa,Unsold,Bowler,2000000,19944.0
436,V Koushik,India,Unsold,Bowler,2000000,19944.0
437,Akash Madhwal,India,Unsold,Bowler,2000000,19944.0
438,Anuj Raj,India,Unsold,Bowler,2000000,19944.0
439,Abhijeet Saket,India,Unsold,Bowler,2000000,19944.0
440,Rahul Shukla,India,Unsold,Bowler,2000000,19944.0
441,Nuwan Thushara,Sri Lanka,Unsold,Bowler,2000000,19944.0
442,Amit Ali,India,Unsold,All-Rounder,2000000,19944.0
443,Chaitanya Bishnoi,India,Unsold,All-Rounder,2000000,19944.0
444,Migael Pretorius,South Africa,Unsold,All-Rounder,2000000,19944.0
445,Shivam Sharma,India,Unsold,All-Rounder,2000000,19944.0
446,Pratyush Singh,India,Unsold,All-Rounder,2000000,19944.0
447,Dhrushant Soni,India,Unsold,All-Rounder,2000000,19944.0
448,M Venkatesh,India,Unsold,All-Rounder,2000000,19944.0
449,Bandaru Ayyappa,India,Unsold,Bowler,2000000,19944.0
450,Gurnoor Singh Brar,India,Unsold,Bowler,2000000,19944.0
451,Akash Choudhary,India,Unsold,Bowler,2000000,19944.0
452,Mohit Jangra,India,Unsold,Bowler,2000000,19944.0
453,Aaqib Khan,India,Unsold,Bowler,2000000,19944.0
454,Ruben Trumpelmann,Namibia,Unsold,Bowler,2000000,19944.0
455,Auqib Dar,India,Unsold,All-Rounder,2000000,19944.0
456,Chirag Gandhi,India,Unsold,All-Rounder,2000000,19944.0
457,Sijomon Joseph,India,Unsold,All-Rounder,2000000,19944.0
458,Anirudha Joshi,India,Unsold,All-Rounder,2000000,19944.0
459,Shubham Sharma,India,Unsold,All-Rounder,2000000,19944.0
460,Shubham Singh,India,Unsold,All-Rounder,2000000,19944.0
461,Arpit Guleria,India,Unsold,Bowler,2000000,19944.0
462,Vipul Krishna,India,Unsold,Bowler,2000000,19944.0
